start_node,end_node,edge_id,start_long,start_lat,end_long,end_lat
332240697,1181846062,332240697->1181846062,114.162276,22.3250338,114.16251,22.3250376
332240700,4773779472,332240700->4773779472,114.162993,22.3250514,114.163038,22.325046
332241860,5020696807,332241860->5020696807,114.1622183,22.323571,114.1622136,22.3235951
332241861,10566992988,332241861->10566992988,114.1656026,22.3209379,114.1654566,22.3210606
332241861,10566992986,332241861->10566992986,114.1656026,22.3209379,114.165579,22.3210956
332241870,1172757618,332241870->1172757618,114.16262,22.3240992,114.1625237,22.3239917
332241870,332243716,332241870->332243716,114.16262,22.3240992,114.162873,22.3243814
332241887,8559094354,332241887->8559094354,114.1619777,22.3242616,114.1619689,22.3242451
332241978,1181846107,332241978->1181846107,114.1624076,22.3247449,114.1623783,22.3248325
332241978,7257383506,332241978->7257383506,114.1624076,22.3247449,114.1622324,22.3248823
332241980,7257383504,332241980->7257383504,114.1621955,22.3249072,114.1621539,22.3249247
332242040,6984393973,332242040->6984393973,114.1644159,22.3233423,114.1642234,22.3233456
332242040,6984393970,332242040->6984393970,114.1644159,22.3233423,114.1643843,22.3233207
332242116,4773779436,332242116->4773779436,114.1640771,22.3236324,114.1641175,22.3236062
332242333,6576843537,332242333->6576843537,114.1643808,22.3238588,114.164369,22.323915
332242333,7159249733,332242333->7159249733,114.1643808,22.3238588,114.1644114,22.323793
332242336,1161863870,332242336->1161863870,114.1637996,22.32392,114.1640772,22.3237134
332242353,4773779431,332242353->4773779431,114.1644937,22.3234749,114.1645744,22.3234654
332242393,274243018,332242393->274243018,114.1632637,22.3241543,114.1647463,22.3229446
332242579,6370140256,332242579->6370140256,114.1672864,22.3232688,114.1669374,22.3235243
332242579,7242599236,332242579->7242599236,114.1672864,22.3232688,114.1673152,22.3231334
332242620,12956666346,332242620->12956666346,114.1673584,22.32389,114.1673859,22.3239202
332242620,4123241553,332242620->4123241553,114.1673584,22.32389,114.1676745,22.3239521
332242753,10848289257,332242753->10848289257,114.1664288,22.3226105,114.1662398,22.3235184
332242753,1178971331,332242753->1178971331,114.1664288,22.3226105,114.1658798,22.3225132
332242754,332251620,332242754->332251620,114.1668865,22.3226917,114.1670898,22.3217144
332242754,332242753,332242754->332242753,114.1668865,22.3226917,114.1664288,22.3226105
332242755,5035288921,332242755->5035288921,114.168659,22.3231134,114.1686739,22.3230963
332242755,1178971377,332242755->1178971377,114.168659,22.3231134,114.1687021,22.3229207
332242765,332243937,332242765->332243937,114.165347,22.322279,114.165372,22.3222138
332243000,6264275960,332243000->6264275960,114.1672809,22.3126863,114.1672867,22.3126554
332243002,12643618256,332243002->12643618256,114.166628,22.3165397,114.1666734,22.3162877
332243003,288991796,332243003->288991796,114.1662215,22.3187352,114.1660608,22.318712
332243003,1168066104,332243003->1168066104,114.1662215,22.3187352,114.1662865,22.3183644
332243005,4860492619,332243005->4860492619,114.1656386,22.3217101,114.1656472,22.3216681
332243007,7205257472,332243007->7205257472,114.1654564,22.3224381,114.1655119,22.3222892
332243088,6637957629,332243088->6637957629,114.1672753,22.3122897,114.1673096,22.3122428
332243088,6063179965,332243088->6063179965,114.1672753,22.3122897,114.1672059,22.3122783
332243513,8273466961,332243513->8273466961,114.1666948,22.3140484,114.1666216,22.3146992
332243571,332246717,332243571->332246717,114.167153,22.3119994,114.1672397,22.3114658
332243585,4501974987,332243585->4501974987,114.1666099,22.3160282,114.1667713,22.3151528
332243716,332241870,332243716->332241870,114.162873,22.3243814,114.16262,22.3240992
332243716,12579154702,332243716->12579154702,114.162873,22.3243814,114.1628022,22.3244367
332243937,7257383515,332243937->7257383515,114.165372,22.3222138,114.1653918,22.322147
332243938,7388719094,332243938->7388719094,114.1655754,22.3213536,114.1657128,22.320746
332243939,274242693,332243939->274242693,114.1661681,22.3171119,114.1661177,22.317279
332243940,3230277782,332243940->3230277782,114.1660873,22.3173639,114.1660472,22.3174552
332243941,7388719090,332243941->7388719090,114.1663096,22.3177066,114.1664273,22.3170763
332244016,8272842740,332244016->8272842740,114.1665917,22.3138474,114.1664801,22.3150613
332244018,3696262782,332244018->3696262782,114.1666932,22.3126628,114.1666525,22.3131338
332244341,274243083,332244341->274243083,114.1663535,22.3170497,114.166278,22.3174808
332245308,13144198703,332245308->13144198703,114.1670904,22.3109937,114.1670536,22.3112403
332245309,332245308,332245309->332245308,114.1671633,22.3105326,114.1670904,22.3109937
332246176,5067616211,332246176->5067616211,114.1667502,22.3121145,114.1666925,22.3121486
332246177,5067616214,332246177->5067616214,114.1668331,22.3120388,114.1667863,22.3120879
332246178,332246273,332246178->332246273,114.1670271,22.3113756,114.1670556,22.311489
332246178,13108528133,332246178->13108528133,114.1670271,22.3113756,114.1669856,22.3114792
332246270,6176174000,332246270->6176174000,114.1673638,22.3121683,114.1673757,22.3120124
332246273,1168380690,332246273->1168380690,114.1670556,22.311489,114.1670155,22.3118362
332246717,34971941,332246717->34971941,114.1672397,22.3114658,114.1673269,22.3109932
332246756,5133754167,332246756->5133754167,114.1674735,22.3107054,114.167547,22.3103122
332247607,6611651275,332247607->6611651275,114.1670978,22.3112543,114.1670771,22.311383
332247608,332248687,332247608->332248687,114.1670823,22.3104881,114.1670235,22.31096
332248212,332248213,332248212->332248213,114.1673135,22.3104771,114.1672201,22.3109799
