name,dimensions,walk_length,num_walks,window,p,q,auc,mrr,hit_at_1,hit_at_5,hit_at_10,positive_mean_cosine,negative_mean_cosine,score_margin,positive_score_length_corr
d64_wl20_nw10_win5_p1_q1,64,20,10,5,1.0,1.0,0.7803327948173868,0.4272116338849567,0.33912037037037035,0.4895833333333333,0.6197916666666666,0.7218342355896581,0.5071009074056875,0.21473332818397062,-0.004558778772574909
d32_wl20_nw10_win5_p1_q1,32,20,10,5,1.0,1.0,0.7768520326967593,0.4241709867188177,0.33912037037037035,0.4878472222222222,0.6099537037037037,0.7257614192440761,0.5130882327435581,0.21267318650051803,-0.0030814064436962474
d32_wl40_nw10_win5_p1_q1,32,40,10,5,1.0,1.0,0.7714394785772463,0.419397720406054,0.33564814814814814,0.4820601851851852,0.6145833333333334,0.7168827930042796,0.5051687156116047,0.2117140773926749,-0.0009256308287855669
d16_wl20_nw10_win5_p1_q1,16,20,10,5,1.0,1.0,0.7626224654921124,0.40527506117531237,0.3263888888888889,0.45717592592592593,0.5839120370370371,0.7358053234207479,0.531579159272908,0.2042261641478399,-0.012156240724152176
d16_wl40_nw10_win5_p1_q1,16,40,10,5,1.0,1.0,0.7564989631558642,0.4067761112796435,0.3304398148148148,0.44328703703703703,0.578125,0.7277642502794387,0.526004626674403,0.20175962360503574,-0.003763072835306261
d64_wl40_nw20_win10_p1_q1,64,40,20,10,1.0,1.0,0.7371746131258573,0.4389828781110723,0.36342592592592593,0.4994212962962963,0.5810185185185185,0.6349439079640433,0.4248344380488938,0.2101094699151495,-0.0177353322913287
d32_wl40_nw20_win10_p0.5_q2,32,40,20,10,0.5,2.0,0.7324423238704562,0.4347482684893746,0.3628472222222222,0.48726851851851855,0.5665509259259259,0.6400248987548467,0.4346870092237454,0.20533788953110127,-0.010883535779773829
d32_wl40_nw20_win10_p2_q0.5,32,40,20,10,2.0,0.5,0.7267509738833162,0.43186916272845766,0.35648148148148145,0.49537037037037035,0.5572916666666666,0.6436724107652144,0.435552084353608,0.20812032641160644,0.0004899567733710732
d32_wl40_nw20_win10_p1_q1,32,40,20,10,1.0,1.0,0.7236675749099795,0.4369862467372389,0.36516203703703703,0.49074074074074076,0.5671296296296297,0.6401145079828523,0.4353483766702185,0.20476613131263383,-0.016162373794316332
