u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
1168315957,332244018,101193752,trunk_link,1.0,渡船街 Ferry Street,True,False,6.587890966830071,interchange,,,,,,,,"LINESTRING (114.1666818 22.3126045, 114.1666932 22.3126628)",edge,943,True,0.0,,0.06280498001881
1168315962,2866714617,101193743,motorway,2.0,中九龍繞道 Central Kowloon Bypass,True,False,10.540774624946708,,,50.0,6.0,,,,,"LINESTRING (114.1626123 22.3123448, 114.1626821 22.3122754)",edge,0,False,0.0,,-1.7588429877991092
1168315964,8764628273,101193767,primary,1.0,麗翔道 Lai Cheung Road,True,False,1.0743925475232252,intersection,,,,,,,,"LINESTRING (114.1647308 22.3120879, 114.1647411 22.3120895)",edge,39,True,0.0,,-0.0194021745773566
1168315964,334650570,101515883,tertiary,3.0,海泓道 Hoi Wang Road,True,False,14.627612904042785,intersection,,,,,,,,"LINESTRING (114.1647308 22.3120879, 114.1647058 22.3122174)",edge,38,True,0.0,,4.116021133468993
1168315967,12041326655,101193740,primary_link,1.0,麗翔道 Lai Cheung Road,True,False,5.94678155426222,interchange,,,,,,,,"LINESTRING (114.1662607 22.3122609, 114.1663149 22.3122795)",edge,39,True,0.0,,2.22247076604326
1168315967,12041326660,101193768,primary_link,1.0,麗翔道 Lai Cheung Road,True,False,7.274135900657247,interchange,,,,,,,,"LINESTRING (114.1662607 22.3122609, 114.166326 22.3122358)",edge,39,True,0.0,,2.1079341062782584
1168315976,2866714637,101193744,primary,1.0,麗翔道 Lai Cheung Road,True,False,14.958042951597648,interchange,,50.0,,,,,,"LINESTRING (114.1617862 22.3147658, 114.1618332 22.3146385)",edge,39,True,0.0,,-7.357325275827347
1168315980,8184472282,30150125,secondary,3.0,通州街 Tung Chau Street,True,False,105.0703963996494,,,,,,,,,"LINESTRING (114.1608067 22.3260418, 114.1615945 22.3254403)",edge,33,True,0.0,,5.927291878624908
1168315985,1168315941,766250074,primary,1.0,麗翔道 Lai Cheung Road,True,False,10.944262681322918,interchange,,50.0,,,,,,"LINESTRING (114.1630143 22.3123352, 114.1630908 22.3122668)",edge,39,True,0.0,,2.733870894472997
1168315988,8273466964,890077778,primary,3.0,渡船街 Ferry Street,True,False,29.277270199874593,,,,,,,,,"LINESTRING (114.1665065 22.3160663, 114.1664674 22.3163271)",edge,943,True,0.0,,3.679706034669216
1168315989,1168315942,101193743,motorway,2.0,中九龍繞道 Central Kowloon Bypass,True,False,11.680192038600673,,,50.0,6.0,,,,,"LINESTRING (114.1618897 22.3132107, 114.1619517 22.3131227)",edge,0,False,0.0,,2.4137312432991656
1168315992,6635834030,101193755,primary_link,1.0,麗翔道 Lai Cheung Road,True,False,3.38266668696813,interchange,,,,,,,,"LINESTRING (114.164597 22.3122674, 114.1646085 22.3122959)",edge,39,True,0.0,,0.7748377971568902
1168315995,5022465004,151226308,primary,2.0,麗翔道 Lai Cheung Road,True,False,15.0333641268958,interchange,,,,,,,,"LINESTRING (114.1636688 22.3120114, 114.1638125 22.3119868)",edge,39,True,0.0,,0.7336943037137936
1168316001,6374553565,781684628,secondary,3.0,南昌街 Nam Cheong Street,True,False,11.560592883071608,,,,,,,,,"LINESTRING (114.1610553 22.3265739, 114.160983 22.3264943)",edge,135,True,0.0,,-0.9885960977681588
1168316001,1641766330,1203105164,secondary,3.0,海壇街 Hai Tan Street,True,False,21.860073618597134,,,,,,,,,"LINESTRING (114.1610553 22.3265739, 114.1608954 22.3267034)",edge,11,True,0.0,,3.448802996497634
1168316003,6046364952,101193744,primary,1.0,麗翔道 Lai Cheung Road,True,False,17.91933406404924,interchange,,50.0,,,,,,"LINESTRING (114.1623815 22.3133548, 114.1624524 22.3132076)",edge,39,True,0.0,,-4.046636325563776
1168316006,332247607,1448405606,secondary,1.0,渡船街 Ferry Street,True,False,28.93817376482119,,,,,,,,,"LINESTRING (114.167149 22.3109984, 114.1670978 22.3112543)",edge,943,True,0.0,,-14.158799464493132
1168316008,1151084808,101205469,primary,3.0,窩打老道 Waterloo Road,True,False,10.937607383746627,,,,,,,,,"LINESTRING (114.1674658 22.3124983, 114.1675706 22.3125149)",edge,3146,True,0.0,,0.2720403334958582
1168316013,6769175971,101193743,motorway,2.0,中九龍繞道 Central Kowloon Bypass,True,False,15.245975084899404,,,50.0,6.0,,,,,"LINESTRING (114.1623673 22.3125774, 114.162468 22.3124768)",edge,0,False,0.0,,-7.0148320730933005
1168316015,6297203328,101193778,primary_link,2.0,麗翔道 Lai Cheung Road,True,False,6.269133373901672,interchange,,,,,,,,"LINESTRING (114.1645413 22.311907, 114.1646022 22.3119091)",edge,39,True,0.0,,-0.0194764756728679
1168316016,334648625,101205472,primary,2.0,渡船街 Ferry Street,True,False,12.937111531180443,intersection,,,,,,,,"LINESTRING (114.1670026 22.3123356, 114.1669963 22.3124518)",edge,943,True,1.0,,3.35215630646798
1168316016,8726833393,101205479,primary_link,3.0,麗翔道 Lai Cheung Road,True,False,8.312491316635839,intersection,,,,,,,,"LINESTRING (114.1670026 22.3123356, 114.1670831 22.3123421)",edge,39,True,0.0,,-0.1389042239045436
1168316017,5022465003,101193755,primary_link,1.0,麗翔道 Lai Cheung Road,True,False,13.71003477077394,interchange,,,,,,,,"LINESTRING (114.1643364 22.3120395, 114.164448 22.3121069)",edge,39,True,0.0,,1.092864470106632
1168316017,1168316018,282735512,primary,1.0,麗翔道 Lai Cheung Road,True,False,24.01868922157633,interchange,,,,,,,,"LINESTRING (114.1643364 22.3120395, 114.164568 22.3120669)",edge,39,True,0.0,,0.3767716151378014
1168316018,8764628260,282735512,primary,1.0,麗翔道 Lai Cheung Road,True,False,7.797456552143572,interchange,,,,,,,,"LINESTRING (114.164568 22.3120669, 114.1646432 22.3120757)",edge,39,True,0.0,,-0.279290859637134
1168380649,3230276951,30150308,trunk,2.0,西九龍走廊西 West Kowloon Corridor West,True,False,79.7693223404312,,,70.0,5.0,,,,,"LINESTRING (114.1663309 22.3163215, 114.1661886 22.3170267)",edge,12,True,0.0,,11.13057084444174
1168380653,5103661129,1299955103,primary_link,1.0,渡船街 Ferry Street,True,False,9.878553879104926,,,,,,,,,"LINESTRING (114.1675095 22.3123852, 114.167454 22.3123127)",edge,943,True,0.0,,-3.8221064311131103
1168380653,12041326627,1299955104,primary,2.0,窩打老道 Waterloo Road,True,False,12.526693102206744,,,,,,,,,"LINESTRING (114.1675095 22.3123852, 114.1674063 22.3123254)",edge,3146,True,0.0,,-3.4424492914757945
1168380653,12041326628,1299955105,primary_link,2.0,窩打老道 Waterloo Road,True,False,12.897626826055312,,,,,,,,,"LINESTRING (114.1675095 22.3123852, 114.1673842 22.3123893)",edge,3146,True,0.0,,0.6117284130644359
1168380658,1168380684,101205473,trunk_link,1.0,渡船街 Ferry Street,True,False,11.914778535609846,,,,,,,,,"LINESTRING (114.166711 22.3131222, 114.1666465 22.3132112)",edge,943,True,1.0,,-2.7667738017102415
1168380660,332245309,1448405604,trunk_link,1.0,加士居道天橋 Gascoigne Road Flyover,True,False,12.524626605136962,,,50.0,,,,,,"LINESTRING (114.167182 22.3104213, 114.1671633 22.3105326)",edge,0,False,0.0,,-1.375034934517562
1168380664,1168380658,101205473,trunk_link,1.0,渡船街 Ferry Street,True,False,13.198213159798785,,,,,,,,,"LINESTRING (114.1667866 22.3130263, 114.166711 22.3131222)",edge,943,True,0.0,,-2.5478748264356272
1168380668,12041326647,807687165,primary,2.0,翺翔道 Ngo Cheung Road,True,False,4.212125632069281,,,,,,,,,"LINESTRING (114.1666281 22.3121802, 114.1665883 22.3121713)",edge,0,False,0.0,,-0.383959654346914
1168380671,332246756,101205481,trunk_link,2.0,渡船街 Ferry Street,True,False,82.73144170505941,,,50.0,,,,,,"LINESTRING (114.1673572 22.3114416, 114.1674735 22.3107054)",edge,943,True,0.0,,12.723928706820598
1168380680,13108528135,30150490,trunk_link,1.0,渡船街 Ferry Street,True,False,4.791828606026175,,,,,,,,,"LINESTRING (114.166907 22.3118377, 114.1668981 22.31188)",edge,943,True,0.0,,0.6714489361148648
1168380684,332244016,704283236,trunk_link,2.0,渡船街 Ferry Street,True,False,70.96656175740777,,,,,,,,,"LINESTRING (114.1666465 22.3132112, 114.1665917 22.3138474)",edge,943,True,-1.0,,-9.200939625015437
1168380686,13108528130,30150635,trunk_link,1.0,加士居道天橋 Gascoigne Road Flyover,True,False,5.287406485350015,,yes,50.0,,,,,,"LINESTRING (114.1672335 22.3102251, 114.1672193 22.3102708)",edge,0,False,0.0,,1.2624696955408086
1168380688,4501979658,876114727,primary,1.0,渡船街 Ferry Street,True,False,9.808861446429566,,,,,,,,,"LINESTRING (114.1667448 22.3146423, 114.1667297 22.3147294)",edge,943,True,0.0,,0.4308294466259618
1168380690,6176173994,815308415,primary,2.0,渡船街 Ferry Street,True,False,11.014915042263237,,,,,,,,,"LINESTRING (114.1670155 22.3118362, 114.1670052 22.3119348)",edge,943,True,0.0,,1.8346447369798269
1168380691,1168380708,30150577,trunk_link,2.0,渡船街 Ferry Street,True,False,70.3589655837559,,viaduct,70.0,,,,,,"LINESTRING (114.1670711 22.3129257, 114.1672012 22.3123045)",edge,943,True,0.0,,-15.122057174933069
1168380691,6702444347,1299955107,trunk,2.0,加士居道天橋 Gascoigne Road Flyover,True,False,71.13665122506573,,viaduct,50.0,5.0,,,,,"LINESTRING (114.1670711 22.3129257, 114.1671087 22.3122869)",edge,0,False,0.0,,-13.329724098281876
1168380708,12041326635,1299955109,trunk_link,2.0,渡船街 Ferry Street,True,False,6.596733277554356,,viaduct,70.0,,,,,,"LINESTRING (114.1672012 22.3123045, 114.1672112 22.3122459)",edge,943,True,0.0,,-3.167658625678543
1168380712,334648400,101193752,trunk_link,1.0,渡船街 Ferry Street,True,False,7.46957950339216,interchange,,,,,,,,"LINESTRING (114.1666193 22.3125022, 114.1666616 22.3125568)",edge,943,True,0.0,,0.5719472040304958
1168380715,5103661128,706422882,primary_link,1.0,渡船街 Ferry Street,True,False,1.953169746997008,,,,,,,,,"LINESTRING (114.1674363 22.3122873, 114.1674266 22.3122722)",edge,943,True,0.0,,-0.6093865011533826
1168414416,13108528105,1448405602,trunk_link,1.0,加士居道天橋 Gascoigne Road Flyover,True,False,5.3294435788472505,,yes,50.0,,,,,,"LINESTRING (114.167663 22.3101697, 114.167672 22.3101225)",edge,0,False,0.0,,-2.0300011969807956
1168414428,5133754166,704283238,trunk_link,2.0,加士居道天橋 Gascoigne Road Flyover,True,False,108.98421125381228,,yes,50.0,,,,,,"LINESTRING (114.1674493 22.3113507, 114.1676272 22.3103845)",edge,0,False,-1.0,,7.56885277176883
1171655915,1636768937,493994639,secondary,3.0,新填地街 Reclamation Street,True,False,30.75265115245129,,,,,,,,,"LINESTRING (114.1691493 22.311821, 114.1690958 22.3120931)",edge,54,True,-1.0,,-19.905787038015433
1171655915,8788535512,949336122,service,,,True,False,14.634930645877755,,,,,,,,,"LINESTRING (114.1691493 22.311821, 114.1690095 22.3117966)",edge,0,False,0.0,,8.41773358773599
1171655916,7257329452,150801680,service,,,False,False,14.80470547302895,,,,,,,,,"LINESTRING (114.1686605 22.3117357, 114.168529 22.3116816)",edge,0,False,0.0,,-14.015516019991072
1171655916,8788535512,150801680,service,,,False,True,36.53473256169703,,,,,,,,,"LINESTRING (114.1686605 22.3117357, 114.1690095 22.3117966)",edge,0,False,0.0,,11.56710062202064
1171655923,7121972969,101476147,service,,廣東道 Canton Road,True,False,3.640822671422375,,,,,,,,,"LINESTRING (114.1687887 22.311095, 114.1687829 22.3111273)",edge,494,True,0.0,,-1.195144604392837
1171655923,6763989295,150801676,residential,2.0,東莞街 Tung Kun Street,True,False,15.228367160020229,,,,,,,,,"LINESTRING (114.1687887 22.311095, 114.1686434 22.3110688)",edge,0,False,0.0,,-4.248103102182218
1171655924,1636768906,101476146,service,,澄平街 Ching Ping Street,True,False,63.88831845987793,,,,,,,,,"LINESTRING (114.1676128 22.3114746, 114.1677399 22.3109122)",edge,0,False,0.0,,6.594427385925306
1171655924,5021008017,150801680,service,,,False,True,1.802286876409409,,,,,,,,,"LINESTRING (114.1676128 22.3114746, 114.16761 22.3114906)",edge,0,False,0.0,,-0.3762763809958684
1172166289,12647507206,1365726722,service,,,True,False,9.074854947539444,,,,,driveway,,,,"LINESTRING (114.1623036 22.3167387, 114.162391 22.3167276)",edge,0,False,0.0,,1.7633767234665514
1172166295,6264275959,101515899,service,,,False,True,10.917994698479644,,,,,,,,,"LINESTRING (114.1623096 22.3151798, 114.162408 22.3152166)",edge,0,False,0.0,,1.502788259329537
1172166304,1295862850,185084430,service,,,False,False,9.7898491092297,,yes,,,,,,,"LINESTRING (114.162846 22.3167594, 114.1627642 22.3168044)",edge,0,False,0.0,,1.9356143806505517
1172166304,1172166305,185084430,service,,,False,True,24.66140761750716,,yes,,,,,,,"LINESTRING (114.162846 22.3167594, 114.1630543 22.3166496)",edge,0,False,0.0,,-3.6583338407859
1172166305,1172166304,185084430,service,,,False,False,24.66140761750716,,yes,,,,,,,"LINESTRING (114.1630543 22.3166496, 114.162846 22.3167594)",edge,0,False,0.0,,3.6583338407859
1172166305,1172166409,185084430,service,,,False,True,78.55114449600293,,yes,,,,,,,"LINESTRING (114.1630543 22.3166496, 114.1632456 22.3159657)",edge,0,False,0.0,,4.293437550475611
1172166308,6777002697,101515907,tertiary_link,1.0,海庭道 Hoi Ting Road,True,False,20.71076739183683,,,,,,,,,"LINESTRING (114.163278 22.3170216, 114.1634041 22.3171668)",edge,1,True,0.0,,1.0318805676746854
1172166308,6777002699,101515911,unclassified,3.0,海庭道 Hoi Ting Road,False,False,15.737404744996669,,,,,,,,,"LINESTRING (114.163278 22.3170216, 114.1634259 22.3170578)",edge,1,True,0.0,,3.612649848741852
1172166308,332232638,1426235499,unclassified,3.0,海庭道 Hoi Ting Road,False,True,31.15732683511567,,,,,,,,,"LINESTRING (114.163278 22.3170216, 114.1629919 22.3169296)",edge,1,True,0.0,,-7.672729921663279
1172166315,1956604491,314017142,service,,,True,False,3.8737837851777823,,,,,,,,,"LINESTRING (114.1627372 22.3154459, 114.1627738 22.3154541)",edge,0,False,0.0,,1.4245448948614383
1172166317,6264275953,101515893,tertiary_link,1.0,海庭道 Hoi Ting Road,True,False,4.70146380809829,,,,,,,,,"LINESTRING (114.164838 22.3128786, 114.1648122 22.3128437)",edge,1,True,0.0,,0.0885336247504844
1172166326,13110621032,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,24.491315167143316,,,,,,,,,"LINESTRING (114.1624854 22.3152438, 114.162402 22.3154501)",edge,1,True,0.0,,-5.480689924450022
1172166326,288991202,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,6.688219260987992,,,,,,,,,"LINESTRING (114.1624854 22.3152438, 114.1625077 22.3151873)",edge,1,True,0.0,,1.3309397677841588
1172166326,6264275959,101515899,service,,,False,False,8.517057199463967,,,,,,,,,"LINESTRING (114.1624854 22.3152438, 114.162408 22.3152166)",edge,0,False,0.0,,-1.5002169167716393
1172166327,12645719250,101515900,service,1.0,,True,False,3.1391139741964875,,,,,,,,,"LINESTRING (114.1639484 22.3152746, 114.1639193 22.3152661)",edge,0,False,0.0,,-1.3000125875485964
1172166329,13591799734,101515909,unclassified,2.0,海庭道 Hoi Ting Road,True,False,7.492749990442488,,,,,,,,,"LINESTRING (114.1642014 22.3128804, 114.1642587 22.312922)",edge,1,True,0.0,,4.968197206765003
1172166329,288991131,1426235500,unclassified,3.0,海庭道 Hoi Ting Road,False,False,22.13412028115135,,,,,,,,,"LINESTRING (114.1642014 22.3128804, 114.1639911 22.3128383)",edge,1,True,0.0,,-10.353866779208774
1172166330,11229660903,492424455,tertiary,1.0,海泓道 Hoi Wang Road,True,False,10.62617923773746,,,,,,,,,"LINESTRING (114.1638159 22.316428, 114.1638362 22.3163343)",edge,38,True,0.0,,1.576753703237119
1172166337,12647507215,101515906,service,,,False,False,33.89126358979505,,yes,,,,,,,"LINESTRING (114.1627996 22.3157973, 114.1631191 22.3158717)",edge,0,False,0.0,,5.076711055439501
1172166337,1172166351,101515906,service,,,False,True,26.498424526591428,,yes,,,,,,,"LINESTRING (114.1627996 22.3157973, 114.1625503 22.3157373)",edge,0,False,0.0,,-11.167620267482826
1172166339,6635834028,946831547,tertiary,3.0,海泓道 Hoi Wang Road,True,False,6.130772800594801,,,,,,,,,"LINESTRING (114.1648004 22.3123638, 114.1647949 22.3123089)",edge,38,True,0.0,,-1.8115594912093271
1172166339,6702092990,946831548,primary_link,1.0,麗翔道 Lai Cheung Road,True,False,8.693931867646704,,,,,,,,,"LINESTRING (114.1648004 22.3123638, 114.1648764 22.3123296)",edge,39,True,0.0,,-0.999626174380986
1172166340,1958824767,101515889,service,,,False,False,22.952961022679112,,yes,,,,,,,"LINESTRING (114.163371 22.315533, 114.1634295 22.3153338)",edge,0,False,0.0,,-1.3061124411318903
1172166340,1956604543,101515889,service,,,False,True,31.256462163959547,,yes,,,,,,,"LINESTRING (114.163371 22.315533, 114.1632876 22.3158033)",edge,0,False,0.0,,3.748438935471749
1172166341,12645719253,314017142,service,,,True,False,3.042994361466381,,,,,,,,,"LINESTRING (114.1628424 22.314996, 114.1628188 22.3150125)",edge,0,False,0.0,,-0.3392372875453708
1172166343,6286009773,101515904,primary,1.0,麗翔道 Lai Cheung Road,True,False,6.5001156805092215,intersection,,,,,,,,"LINESTRING (114.1648368 22.3121048, 114.1648989 22.3121156)",edge,39,True,0.0,,0.2774017630091677
1172166343,7553815431,101515910,tertiary,3.0,海泓道 Hoi Wang Road,True,False,12.910861506150605,intersection,,,,,,,,"LINESTRING (114.1648368 22.3121048, 114.1648563 22.3119901)",edge,38,True,0.0,,-1.5109017625658447
1172166351,1956604542,101515882,service,,,False,True,7.421819118621354,,,,,,,,,"LINESTRING (114.1625503 22.3157373, 114.1624812 22.3157181)",edge,0,False,0.0,,-3.667030612920745
1172166351,1172166337,101515906,service,,,False,False,26.498424526591428,,yes,,,,,,,"LINESTRING (114.1625503 22.3157373, 114.1627996 22.3157973)",edge,0,False,0.0,,11.167620267482826
1172166352,288991740,1365530021,tertiary,3.0,海泓道 Hoi Wang Road,True,False,19.437721189970716,,,,,,,,,"LINESTRING (114.1634916 22.3173502, 114.1634379 22.3175178)",edge,38,True,1.0,,-5.229892231591736
1172166356,12647502197,1365726722,service,,,True,False,13.63543840162826,,,,,driveway,,,,"LINESTRING (114.1620581 22.3163075, 114.1619909 22.3164132)",edge,0,False,0.0,,1.3442519083364344
1172166363,493883921,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,21.402321499007975,,,,,,,,,"LINESTRING (114.1623148 22.3156659, 114.1622414 22.315846)",edge,1,True,0.0,,-1.9744199192618
1172166363,13110621032,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,25.6176619113578,,,,,,,,,"LINESTRING (114.1623148 22.3156659, 114.162402 22.3154501)",edge,1,True,0.0,,5.391344294573172
1172166363,6379219640,101515882,service,,,False,False,8.85733808015759,,,,,,,,,"LINESTRING (114.1623148 22.3156659, 114.162396 22.3156924)",edge,0,False,0.0,,4.140719689497452
1172166366,1172166389,101515891,tertiary_link,1.0,海庭道 Hoi Ting Road,True,False,14.156708057908723,,,,,,,,,"LINESTRING (114.1646221 22.3126435, 114.16453 22.3127381)",edge,1,True,0.0,,1.7452833048383116
1172166366,7154004887,492422297,tertiary,2.0,海泓道 Hoi Wang Road,True,False,11.52782367806265,,,,,,,,,"LINESTRING (114.1646221 22.3126435, 114.1646009 22.3127453)",edge,38,True,0.0,,2.3395043968577176
1172166367,6357916694,101515874,secondary,2.0,麗翔道 Lai Cheung Road,True,False,12.796020888048636,intersection,,,,,,,,"LINESTRING (114.1648646 22.3119507, 114.1649868 22.3119722)",edge,39,True,0.0,,0.4820964144535145
1172166367,6052475832,255228538,tertiary,2.0,海泓道 Hoi Wang Road,True,False,7.576177954765952,intersection,,,,,,,,"LINESTRING (114.1648646 22.3119507, 114.1648707 22.3118828)",edge,38,True,0.0,,-0.4306966196400837
1172166369,6777002696,101515903,tertiary,3.0,海泓道 Hoi Wang Road,True,False,28.43135462825885,,,,,,,,,"LINESTRING (114.1635366 22.3175621, 114.1636131 22.3173164)",edge,38,True,0.0,,8.352693937834742
1172166374,1172166352,101515907,tertiary_link,1.0,海庭道 Hoi Ting Road,True,False,18.540811369271633,,,,,,,,,"LINESTRING (114.1634297 22.3171936, 114.1634916 22.3173502)",edge,1,True,2.0,,-7.766448036848103
1172166376,13395157687,314018976,service,1.0,,True,False,4.732495580419865,,,,,,,,,"LINESTRING (114.1638862 22.3156929, 114.1639307 22.3157037)",edge,0,False,1.0,,1.5781758001352886
1172166379,7559827042,255267934,tertiary,1.0,海泓道 Hoi Wang Road,True,False,32.53468141842322,,,,,,,,,"LINESTRING (114.1641152 22.3150669, 114.1641877 22.3147821)",edge,38,True,0.0,,13.23736828065931
1172166382,8764628290,946831549,tertiary,4.0,海泓道 Hoi Wang Road,True,False,16.073776226189977,,,,,,,,,"LINESTRING (114.1647345 22.3126681, 114.1647654 22.3125264)",edge,38,True,0.0,,-4.0420712671024575
1172166386,6066099599,492422296,tertiary,3.0,海泓道 Hoi Wang Road,True,False,8.913878312238001,,,,,,,,,"LINESTRING (114.1646604 22.3124287, 114.164647 22.3125079)",edge,38,True,0.0,,2.381565615178669
1172166389,7153993883,101515891,tertiary_link,1.0,海庭道 Hoi Ting Road,True,False,4.068142559467176,,,,,,,,,"LINESTRING (114.16453 22.3127381, 114.1644996 22.3127615)",edge,1,True,0.0,,0.5949431246846111
1172166403,13591799737,255228590,tertiary,3.0,海泓道 Hoi Wang Road,True,False,7.223869211761659,,,,,,,,,"LINESTRING (114.164623 22.3130017, 114.1646388 22.3129384)",edge,38,True,-2.0,,-12.79459617491336
1172166403,13591799741,1482084008,unclassified,1.0,海庭道 Hoi Ting Road,True,False,21.72386699925019,,,,,,,,,"LINESTRING (114.164623 22.3130017, 114.1648295 22.3130426)",edge,1,True,0.0,,-3.0091891238737163
1172166409,1956604572,185084379,service,,,True,False,3.1640806561070556,,yes,,,,,,,"LINESTRING (114.1632456 22.3159657, 114.1632758 22.3159711)",edge,0,False,0.0,,1.1511609379783247
1172166409,1172166305,185084430,service,,,False,False,78.55114449600293,,yes,,,,,,,"LINESTRING (114.1632456 22.3159657, 114.1630543 22.3166496)",edge,0,False,0.0,,-4.293437550475611
1172166414,6052460354,643853504,unclassified,2.0,海庭道 Hoi Ting Road,False,True,10.30587434507166,,,,,,,,,"LINESTRING (114.1650738 22.313055, 114.1651716 22.3130751)",edge,1,True,0.0,,-1.648656359389766
1172166414,13591799736,1482084002,unclassified,1.0,海庭道 Hoi Ting Road,True,False,10.30530153013593,,,,,,,,,"LINESTRING (114.1650738 22.313055, 114.1649898 22.3130045)",edge,1,True,0.0,,-1.255163912980906
1172166420,1172166429,101515903,tertiary,3.0,海泓道 Hoi Wang Road,True,False,7.154600166215872,,,,,,,,,"LINESTRING (114.1636556 22.3171712, 114.1636734 22.317109)",edge,38,True,-1.0,,3.774911778007985
1172166424,9893504825,255267934,tertiary,1.0,海泓道 Hoi Wang Road,True,False,45.53436760498347,,,,,,,,,"LINESTRING (114.1643249 22.3142055, 114.1644187 22.3138053)",edge,38,True,0.0,,2.7173596104482813
1172166429,1956604843,101515876,tertiary,2.0,海泓道 Hoi Wang Road,True,False,16.27148750818321,,,,,,,,,"LINESTRING (114.1636734 22.317109, 114.1637089 22.3169664)",edge,38,True,0.0,,5.595500465757932
1172166429,332232732,101515892,unclassified,2.0,海庭道 Hoi Ting Road,False,True,12.217613579482972,,,,,,,,,"LINESTRING (114.1636734 22.317109, 114.1635571 22.3170867)",edge,1,True,1.0,,-0.2845040992811388
1172166429,1962192677,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,11.929872533747014,,,,,,,,,"LINESTRING (114.1636734 22.317109, 114.163787 22.3171306)",edge,1,True,0.0,,2.291974339844254
1172757435,9395491138,102368455,primary,2.0,塘尾道 Tong Mi Road,True,False,14.185045132504143,,,,,,,,,"LINESTRING (114.1654393 22.3217436, 114.1654123 22.3218687)",edge,145,True,0.0,,-2.9200117788566944
1172757442,11153075929,1203105121,tertiary,1.0,埃華街 Ivy Street,True,False,6.611608275123198,,,,,,,,,"LINESTRING (114.1621905 22.3214078, 114.1621269 22.3214164)",edge,6,True,0.0,,0.7620201399093083
1172757459,6565748613,151226293,residential,1.0,福利街 Fuk Lee Street,True,False,3.6600547694134846,,,,,,,,,"LINESTRING (114.1601768 22.3241843, 114.1602042 22.3241633)",edge,0,False,0.0,,-0.3891721412326939
1172757477,6565748609,101558280,residential,1.0,福利街 Fuk Lee Street,True,False,1.5898435184063464,,,,,,,,,"LINESTRING (114.1600218 22.324151, 114.1600147 22.3241637)",edge,0,False,0.0,,0.0310605342103594
1172757477,12073166894,233028825,service,,,False,True,4.163816015338891,,,,,,,,,"LINESTRING (114.1600218 22.324151, 114.159985 22.3241354)",edge,0,False,0.0,,-0.7332055084961318
1172757532,11153075997,101558246,residential,,萬安街 Man On Street,True,False,98.00439418520168,,,,,,,,,"LINESTRING (114.1613987 22.3232103, 114.1613864 22.3240916)",edge,0,False,0.0,,-8.588834139075429
1172757532,6705233136,1203105168,unclassified,2.0,惠安街 Wai On Street,True,False,37.66041681857076,,,,,,,,,"LINESTRING (114.1613987 22.3232103, 114.1617648 22.3232144)",edge,2,True,0.0,,-2.5124647068367563
1172757618,332241870,30150175,unclassified,2.0,楓樹街 Maple Street,False,True,15.524329306068706,,,,,,,,,"LINESTRING (114.1625237 22.3239917, 114.16262 22.3240992)",edge,22,True,0.0,,-3.734010072874485
1172757618,2427397088,101558242,unclassified,2.0,必發道 Bedford Road,False,False,43.015477806997,,,,,,,,,"LINESTRING (114.1625237 22.3239917, 114.1622097 22.3242472)",edge,0,False,0.0,,3.04786017054053
1172757618,1640472911,101558287,unclassified,1.0,必發道 Bedford Road,True,False,123.6460159489558,,,,,,,,,"LINESTRING (114.1625237 22.3239917, 114.1634491 22.323282)",edge,0,False,0.0,,3.1633196191581265
1172757623,3696283363,1184833357,tertiary,2.0,大角咀道 Tai Kok Tsui Road,True,False,4.370015216066278,,,,,,,,,"LINESTRING (114.161953 22.3203113, 114.1619528 22.3203506)",edge,18,True,0.0,,-0.275127744769009
1172757666,12347730038,151226293,residential,1.0,福利街 Fuk Lee Street,True,False,1.6317388342899155,,,,,,,,,"LINESTRING (114.1601258 22.3242341, 114.1601363 22.3242231)",edge,0,False,0.0,,0.0082815319426762
1172757683,3696283362,101558271,tertiary,2.0,大角咀道 Tai Kok Tsui Road,True,False,17.56342363945818,,,,,,,,,"LINESTRING (114.1620455 22.3204722, 114.1620584 22.3203147)",edge,18,True,0.0,,-2.089757630217618
1172757683,6328079478,250785631,tertiary,1.0,晏架街 Anchor Street,True,False,47.27010040433986,,,,,,,,,"LINESTRING (114.1620455 22.3204722, 114.1624974 22.320395)",edge,3,True,0.0,,-12.783866293644293
1172757712,6384079186,102506141,residential,2.0,眾坊街 Public Square Street,False,True,23.164360598500092,,,,,,,,,"LINESTRING (114.171555 22.3103292, 114.1713335 22.3102917)",edge,37,True,0.0,,6.193990345575749
1172757734,1636641314,101558244,residential,2.0,何文田山道 Ho Man Tin Hill Road,False,False,31.02392738536234,,yes,,,,,,,"LINESTRING (114.1759749 22.3128976, 114.1762285 22.3130486)",edge,8,True,0.0,,15.27926701774076
1172757734,6537245680,150787100,residential,2.0,何文田山道 Ho Man Tin Hill Road,False,True,1.4767839698872551,,,,,,,,,"LINESTRING (114.1759749 22.3128976, 114.1759627 22.3128906)",edge,8,True,0.0,,0.0830121085299197
