u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
275908396,10566992979,1133373504,primary,3.0,塘尾道 Tong Mi Road,True,False,10.663134055323772,,,,,,,,,"LINESTRING (114.1652401 22.3226772, 114.1652252 22.3227721)",edge,145,True,0.0,,0.0861658201634108
275935771,7600185392,680766729,secondary,2.0,大坑東道 Tai Hang Tung Road,True,False,9.873858881026765,,,,,,,,,"LINESTRING (114.1720562 22.3273509, 114.1720607 22.3274396)",edge,107,True,0.0,,-0.0891365643398385
275944916,4773693609,494728136,primary,2.0,長沙灣道 Cheung Sha Wan Road,True,False,7.401617444349587,,,,,,,,,"LINESTRING (114.1669241 22.3272441, 114.1669837 22.3272068)",edge,517,True,0.0,,-1.2807599742075375
275945320,9766361634,102640443,tertiary,2.0,登打士街 Dundas Street,True,False,7.366044075129852,,,,,,,,,"LINESTRING (114.1713362 22.315553, 114.1712659 22.3155404)",edge,158,True,0.0,,-6.399594574751762
275945418,3230274782,102640443,tertiary,2.0,登打士街 Dundas Street,True,False,4.893530156839487,,,,,,,,,"LINESTRING (114.1718679 22.3156488, 114.1718209 22.315642)",edge,158,True,0.0,,5.615011208338832
275945418,9766365660,102640450,tertiary,2.0,登打士街 Dundas Street,False,True,19.025436304639896,,,,,,,,,"LINESTRING (114.1718679 22.3156488, 114.1720494 22.3156817)",edge,158,True,0.0,,-19.93684016093122
275945538,11235236460,494512917,tertiary,3.0,山東街 Shantung Street,True,False,9.80624580091804,,,,,,,,,"LINESTRING (114.1720243 22.3179153, 114.1721178 22.3179325)",edge,67,True,0.0,,-4.268847907637882
275945538,10565387068,918730084,tertiary,2.0,洗衣街 Sai Yee Street,True,False,7.373803782071304,,,,,,,,,"LINESTRING (114.1720243 22.3179153, 114.1720101 22.3179803)",edge,247,True,0.0,,0.846640378789597
275945653,10726301482,102548815,secondary,2.0,洗衣街 Sai Yee Street,True,False,56.49241823821137,,,,,,,,,"LINESTRING (114.1712718 22.3213311, 114.1711709 22.3218305)",edge,247,True,0.0,,7.217707863405773
275945763,10211498580,101183494,tertiary,1.0,弼街 Bute Street,True,False,11.251809704287098,,,30.0,,,,,,"LINESTRING (114.1710549 22.3224019, 114.1709475 22.3223827)",edge,70,True,0.0,,-6.705686674384111
275945763,3919865758,102153179,secondary,2.0,洗衣街 Sai Yee Street,True,False,128.08274474943448,,,,,,,,,"LINESTRING (114.1710549 22.3224019, 114.1708269 22.3235343)",edge,247,True,0.0,,-3.3907781468724183
276169884,10629573944,353796054,tertiary,2.0,忠孝街 Chung Hau Street,False,False,26.0124682862234,,,50.0,,,,,,"LINESTRING (114.1778228 22.3127656, 114.1778184 22.3129995)",edge,8,True,0.0,,2.7650480894116343
276169884,10005235753,353796054,tertiary,2.0,忠孝街 Chung Hau Street,False,True,11.38501882003591,,,50.0,,,,,,"LINESTRING (114.1778228 22.3127656, 114.1778295 22.3126634)",edge,8,True,0.0,,-1.196711149315062
276169958,10866585498,493988957,primary,4.0,界限街 Boundary Street,True,False,12.026058981110626,,,,,,,,,"LINESTRING (114.178846 22.3269956, 114.1789629 22.3269975)",edge,629,True,0.0,,3.618404159564347
276372857,6357916383,102454131,primary,2.0,窩打老道 Waterloo Road,True,False,52.41971192444191,,,,,,,,,"LINESTRING (114.1689849 22.312658, 114.1684842 22.3125704)",edge,3146,True,0.0,,1.2404325736150594
276372857,1151084911,987256889,secondary,3.0,新填地街 Reclamation Street,True,False,10.72447753618805,intersection,,,,,,,,"LINESTRING (114.1689849 22.312658, 114.1689663 22.3127529)",edge,54,True,0.0,,2.545358725546043
276373355,6357916373,102640412,primary,3.0,窩打老道 Waterloo Road,True,False,50.15022289697123,,,,,,,,,"LINESTRING (114.1701052 22.3128531, 114.1696268 22.3127663)",edge,3146,True,0.0,,-13.696172764637964
276377951,11235236461,868666683,tertiary,2.0,洗衣街 Sai Yee Street,True,False,81.83314583635725,,,,,,,,,"LINESTRING (114.1721924 22.3171476, 114.1720345 22.3178689)",edge,247,True,0.0,,-13.390673863490145
278948068,1168316016,101205482,primary,2.0,渡船街 Ferry Street,True,False,10.143292303895077,intersection,,,,,,,,"LINESTRING (114.1670005 22.3122444, 114.1670026 22.3123356)",edge,943,True,0.0,,4.7406505412625926
278948068,6370253655,101515894,primary,2.0,翺翔道 Ngo Cheung Road,True,False,16.441403746272233,,,,,,,,,"LINESTRING (114.1670005 22.3122444, 114.1668433 22.3122177)",edge,0,False,0.0,,-1.4294093955412832
278948235,10786928815,1159878001,primary,3.0,彌敦道 Nathan Road,True,False,4.022102115069934,,,,,,,,,"LINESTRING (114.1682262 22.3252062, 114.1682337 22.3251707)",edge,1192,True,0.0,,-1.912048483228043
278948607,1162875754,102548827,unclassified,2.0,聯運街 Luen Wan Street,True,False,20.89628799955222,,,,,,,,,"LINESTRING (114.172596 22.3201373, 114.1725597 22.3203222)",edge,18,True,0.0,,6.831602504902641
