name,dimensions,walk_length,num_walks,window,p,q,auc,mrr,hit_at_1,hit_at_5,hit_at_10,positive_mean_cosine,negative_mean_cosine,score_margin,positive_score_lane_corr
d64_wl20_nw10_win5_p1_q1,64,20,10,5,1.0,1.0,0.7758182629243827,0.4303176529896129,0.3454861111111111,0.4947916666666667,0.6325231481481481,0.7195319805242535,0.505472439798479,0.2140595407257745,-0.21503340274284888
d32_wl20_nw10_win5_p1_q1,32,20,10,5,1.0,1.0,0.7722203601894719,0.42314504466875313,0.3414351851851852,0.47337962962962965,0.6140046296296297,0.7233192637493765,0.5113950825235548,0.21192418122582168,-0.20455676738173248
d32_wl40_nw10_win5_p1_q1,32,40,10,5,1.0,1.0,0.7682688453789438,0.42019065057937616,0.33912037037037035,0.47858796296296297,0.6064814814814815,0.7169447667525943,0.5062234347154757,0.21072133203711862,-0.22162639784374413
d16_wl20_nw10_win5_p1_q1,16,20,10,5,1.0,1.0,0.7638361826453189,0.4058245430409388,0.3275462962962963,0.4513888888888889,0.5908564814814815,0.7373738161383059,0.5301821774076799,0.20719163873062596,-0.194725278158414
d16_wl40_nw10_win5_p1_q1,16,40,10,5,1.0,1.0,0.7595812033822017,0.39778847976197906,0.3148148148148148,0.44328703703703703,0.5787037037037037,0.7313964636177169,0.5261901201033766,0.2052063435143403,-0.20927266163065678
d32_wl40_nw20_win10_p1_q1,32,40,20,10,1.0,1.0,0.733694694948131,0.44003637342255136,0.36574074074074076,0.5063657407407407,0.5688657407407407,0.6467322328912646,0.4365245676132488,0.21020766527801577,-0.22007027096839576
d64_wl40_nw20_win10_p1_q1,64,40,20,10,1.0,1.0,0.732566651395319,0.44067464304000936,0.36516203703703703,0.5011574074074074,0.578125,0.6353396737853203,0.42541780641479243,0.20992186737052787,-0.21992553445431157
d32_wl40_nw20_win10_p2_q0.5,32,40,20,10,2.0,0.5,0.7295663272140775,0.4318177303889987,0.3605324074074074,0.47800925925925924,0.5601851851851852,0.6431737419786967,0.4343390662608565,0.2088346757178402,-0.22579404772914985
d32_wl40_nw20_win10_p0.5_q2,32,40,20,10,0.5,2.0,0.7261533149541324,0.43157684969602594,0.3616898148148148,0.4855324074074074,0.5572916666666666,0.638800126806557,0.4347619665206919,0.20403816028586508,-0.22734682148453933
